Asset ID,Asset Name,Asset Type,Business Process,Owner,Location,Classification,Data Sensitivity,Criticality,RTO (Hours),RPO (Hours),ServiceNow Asset Module Reference,Notes
AST-029,Finance Team (30),People,Finance,CFO,Multi-Region,Confidential,None,Medium,N/A,N/A,https://dev269444.service-now.com/asset.do?sys_id=asset_029,Finance operations
AST-030,Security Team (20),People,Security,CISO,Multi-Region,Confidential,None,Critical,N/A,N/A,https://dev269444.service-now.com/asset.do?sys_id=asset_030,SOC, GRC, AppSec
AST-031,Employee Laptops (500),Endpoint,All,CTO,Multi-Region,Internal,Corporate Data,Low,24,24,https://dev269444.service-now.com/asset.do?sys_id=asset_031,Managed devices
AST-032,Mobile Devices (200),Endpoint,All,CTO,Multi-Region,Internal,Corporate Data,Low,24,24,https://dev269444.service-now.com/asset.do?sys_id=asset_032,Company-issued phones
AST-033,Development Servers,Endpoint,Engineering,CTO,Multi-Region,Confidential,IP,Medium,8,12,https://dev269444.service-now.com/asset.do?sys_id=asset_033,Non-production
AST-034,Test Environments,Endpoint,Engineering,CTO,Multi-Region,Confidential,Data,Low,24,24,https://dev269444.service-now.com/asset.do?sys_id=asset_034,Isolated test environments
AST-035,Cloud Provider (Azure),Vendor,All,CTO,Multi-Region,Confidential,All Data,Critical,N/A,N/A,https://dev269444.service-now.com/asset.do?sys_id=asset_035,Microsoft Azure
AST-036,Payment Processor (Stripe),Vendor,Payments,VP Payments,Multi-Region,Restricted,PII,Critical,2,2,https://dev269444.service-now.com/asset.do?sys_id=asset_036,Card processing
AST-037,AML Screening Vendor,Vendor,Compliance,Compliance Officer,Multi-Region,Restricted,PII,High,4,4,https://dev269444.service-now.com/asset.do?sys_id=asset_037,Screening service
AST-038,Security Monitoring Vendor,Vendor,Security,CISO,Multi-Region,Confidential,Security Data,High,4,4,https://dev269444.service-now.com/asset.do?sys_id=asset_038,MDR/SIEM provider
AST-039,DR/Backup Services,Vendor,IT,CTO,Multi-Region,Confidential,All Data,High,4,4,https://dev269444.service-now.com/asset.do?sys_id=asset_039,Backup and disaster recovery
AST-040,Corporate Website,Application,Marketing,CMO,Multi-Region,Internal,None,Low,24,24,https://dev269444.service-now.com/asset.do?sys_id=asset_040,Public-facing corporate site
